epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,114.471,1.11323,0.63288,1.3573,0.99386,1,0.995,0.74995,0.94737,0.57663,1.41117,0.000317,0.000317,0.000317
87,115.618,1.04685,0.66378,1.44558,0.99385,1,0.995,0.76483,0.90581,0.56545,1.39189,0.0002972,0.0002972,0.0002972
88,116.894,0.95941,0.62245,1.39817,0.99446,1,0.995,0.77589,0.88175,0.55754,1.38352,0.0002774,0.0002774,0.0002774
89,119.424,1.12065,0.71005,1.53883,0.99479,1,0.995,0.77807,0.87142,0.55403,1.38098,0.0002576,0.0002576,0.0002576
90,121.038,1.03941,0.65919,1.39223,0.99214,1,0.995,0.77384,0.86843,0.55738,1.38412,0.0002378,0.0002378,0.0002378
91,123.661,1.16792,1.00796,1.77417,0.99419,1,0.995,0.7712,0.86936,0.57871,1.37849,0.000218,0.000218,0.000218
92,124.926,1.0281,0.89321,1.43876,0.99315,1,0.995,0.75294,0.89904,0.62767,1.38586,0.0001982,0.0001982,0.0001982
93,126.059,1.11628,0.83226,1.669,0.99476,1,0.995,0.74089,0.94901,0.70898,1.40815,0.0001784,0.0001784,0.0001784
94,127.403,0.93683,0.72235,1.41139,1,0.99473,0.995,0.71996,1.00436,0.777,1.43638,0.0001586,0.0001586,0.0001586
95,128.511,1.1756,0.87085,1.77997,1,0.99143,0.995,0.7227,1.01121,0.79693,1.43515,0.0001388,0.0001388,0.0001388
96,129.577,1.04952,0.76111,1.54655,1,0.99334,0.995,0.73011,0.9876,0.77463,1.411,0.000119,0.000119,0.000119
97,130.647,1.1413,0.7597,1.59867,1,0.99902,0.995,0.74167,0.94299,0.73223,1.3755,9.92e-05,9.92e-05,9.92e-05
98,132.504,1.06945,0.80069,1.64179,0.99913,1,0.995,0.75974,0.90291,0.6872,1.3431,7.94e-05,7.94e-05,7.94e-05
99,134.201,1.02412,0.71038,1.5893,0.99853,1,0.995,0.76995,0.88363,0.64262,1.32583,5.96e-05,5.96e-05,5.96e-05
100,135.491,0.97425,0.73923,1.58248,0.99841,1,0.995,0.78013,0.88024,0.61561,1.32165,3.98e-05,3.98e-05,3.98e-05
